"Country4","Hemisphere","Prevalence","Country_cfr","Country_prev","Region","Latitude","Population","Cases_31MR","Deaths_31MR","Cases_30JN","Deaths_30JN","Cases_30S","Deaths_30S","GDP_PC","EDR","Density","vitd","Jan","Feb","Mar","Apr","May","June","July","Aug","Sept"
"Croatia","N",676,"Croatia (3.9)","Croatia (676)","Europe & Central Asia",45.1,"4107462",867,6,2777,107,16593,280,"12361.48",22.6,"73.05",46.9,59,96,140,175,234,244,281,256,187
"Cuba","N",207,"Cuba (3.7)","Cuba (207)","Latin America & Caribbean",21.521757,"11327235",186,6,2341,86,5597,122,"8060.8",23.3,"109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus","N",827,"Cyprus (1.9)","Cyprus (827)","Europe & Central Asia",35.1264,"1206536",262,8,998,19,1755,22,"24532.52",24,"128.71",NA,182.9,200.1,238.7,267,331.7,369,387.5,365.8,312
"Czechia","N",1116,"Czechia (2.9)","Czechia (1116)","Europe & Central Asia",49.8175,"10707177",3308,31,11954,349,70763,655,"18575.23",24.6,"137.66",62.5,50,72,125,168,214,218,226,212,161
"Denmark","N",2240,"Denmark (4.7)","Denmark (2240)","Europe & Central Asia",59.07825,"5790332",3039,90,12968,605,28479,650,"54664",25.6,"137.98",65,48,61.5,147,212.5,240,239,242.5,190.5,158.5
"Djibouti","N",4746,"Djibouti (1.2)","Djibouti (4746)","Middle East & North Africa",11.8251,"986598",30,0,4682,54,5416,61,"2802.2",43.6,"41.37",NA,254,249,279,279,310,237,236,276,282
"Dominican Rep.","N",3005,"Dominican Rep. (2.3)","Dominican Rep. (3005)","Latin America & Caribbean",18.7357,"10837562",1109,51,32568,747,112209,2105,"7280.88",42.2,"219.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ecuador","S",3203,"Ecuador (8)","Ecuador (3203)","Latin America & Caribbean",-1.8312,"17616823",2240,75,56432,4527,137047,11355,"6060.09",42.1,"68.79",NA,149.65,120.85,130.75,143,165.7,156,188.05,194.65,170
"Egypt","N",669,"Egypt (4.3)","Egypt (669)","Middle East & North Africa",26.820553,"102141537",710,46,68311,2953,103198,5930,"3519.87",55.8,"98.87",74.1,257.12,260.28,291.7,310.92,343.1,364.8,376.74,358.98,323.72
"El Salvador","N",993,"El Salvador (2.7)","El Salvador (993)","Latin America & Caribbean",13.7942,"6483178",32,1,6438,174,29077,843,"3805.99",41.1,"309.88",NA,301,277,294,243,220,174,239,257,180
"Eq. Guinea","N",1431,"Eq. Guinea (1.6)","Eq. Guinea (1431)","Sub-Saharan Africa",1.6508,"1398014",12,0,2001,32,5030,83,"9250.33",60.5,"46.67",NA,175.15,172.3,141.05,148.5,153.45,108,94.55,100.75,81
"Eritrea","N",57,"Eritrea (0)","Eritrea (57)","Sub-Saharan Africa",15.1794,"3541651",15,0,203,0,375,0,"0",75.6,"0",NA,304.7,289.1,300.7,300.5,298.5,271.5,217.9,220.1,260.4
"Estonia","N",1499,"Estonia (3.5)","Estonia (1499)","Europe & Central Asia",58.5953,"1326455",745,4,1989,69,3371,64,"18437.25",26.1,"30.41",43.7,25,56,129,203,293,286,307,241,152
"Swaziland","S",701,"Swaziland (1.4)","Swaziland (701)","Sub-Saharan Africa",-26.5225,"1159019",9,0,812,11,5482,109,"3425.56",64,"66.06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
